DATE,TE,CO,NO,NO2,O3,CO2,T,RH,P,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,67,19,0,0,86,0,0.00000,0.00000,0,CRC
07/28/26 03:58:52,17.16,116.98,13.77,8.39,2.87,494.69,16.50,87.20,1011.00,0.08,0.87,1.13,4.40,0.13,1,13.20,0.00,91.59,1,-12,12,0,0,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,1886269618
07/28/26 03:59:54,17.16,118.65,12.84,9.45,2.10,498.98,16.50,87.30,1011.00,0.03,0.68,0.84,11.10,0.18,1,13.20,0.00,87.34,1,-13,12,0,0,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,1193986014
07/28/26 04:00:55,17.16,116.56,12.31,9.17,2.00,504.87,16.50,87.40,1011.00,0.10,0.78,0.84,5.80,0.14,1,13.20,0.00,84.13,1,-12,13,0,0,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,1634997634
07/28/26 04:01:56,17.15,115.54,11.53,9.43,3.11,502.61,16.50,87.10,1011.00,0.31,0.94,0.96,8.50,0.16,1,13.20,0.00,81.77,1,-11,14,0,0,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,1900507549
07/28/26 04:02:53,17.14,115.57,13.76,8.85,3.08,499.08,16.50,87.20,1011.00,0.27,1.15,1.16,13.20,0.15,1,13.20,0.00,79.17,1,-11,12,0,0,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,1813267999
07/28/26 04:03:56,17.14,113.56,13.58,9.81,2.16,494.07,16.50,87.10,1011.00,0.12,0.99,0.99,11.70,0.16,1,13.20,0.00,78.39,1,-11,12,0,0,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,4111005056
07/28/26 04:04:52,17.14,112.77,13.09,9.30,2.38,489.54,16.50,87.20,1011.00,0.04,0.74,0.94,7.90,0.17,1,13.20,0.00,84.60,1,-12,12,0,0,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,2553552028
07/28/26 04:05:54,17.13,110.37,13.10,8.32,3.31,485.41,16.50,87.10,1011.00,0.07,0.54,0.61,346.10,0.18,1,13.20,0.00,86.69,1,-10,12,-2,0,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,3319614564
07/28/26 04:06:50,17.10,111.81,12.41,9.18,1.69,483.74,16.60,86.90,1011.00,0.03,0.59,0.62,1.90,0.20,1,13.20,0.00,79.94,1,-11,13,-1,0,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,3596684772
07/28/26 04:07:53,17.08,114.96,11.90,9.03,1.41,486.07,16.60,87.10,1011.00,0.01,0.67,0.68,6.30,0.18,1,13.20,0.00,77.88,1,-11,13,0,0,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,2595773031
07/28/26 04:08:55,17.07,116.51,12.67,9.78,0.62,488.21,16.60,87.00,1011.00,0.25,0.80,0.80,356.40,0.19,1,13.20,0.00,77.10,1,-11,12,0,-1,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,1360372129
07/28/26 04:09:50,17.07,119.38,13.15,8.86,2.13,493.36,16.60,87.10,1011.00,0.20,0.59,0.59,10.50,0.18,1,13.20,0.00,81.65,1,-11,12,0,0,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,716534250
07/28/26 04:10:52,17.06,117.93,13.79,9.41,0.90,500.18,16.60,87.20,1011.00,0.32,0.61,0.61,3.50,0.13,1,13.20,0.00,79.23,1,-12,12,0,0,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,127136257
07/28/26 04:12:02,17.06,119.25,16.09,8.81,2.96,501.32,16.60,87.00,1011.00,0.26,0.78,0.78,8.60,0.17,1,13.20,0.00,83.17,1,-12,9,0,0,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,3596048261
07/28/26 04:12:53,17.06,114.87,15.12,9.27,1.63,497.72,16.60,87.00,1011.00,0.09,0.40,0.40,18.40,0.18,1,13.20,0.00,85.42,1,-12,10,0,-1,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,117233162
07/28/26 04:13:55,17.06,115.55,13.29,9.81,2.27,491.58,16.60,87.00,1011.00,0.11,0.51,0.51,16.10,0.18,1,13.20,0.00,81.66,1,-14,12,0,0,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,2878337788
07/28/26 04:14:56,17.06,111.29,13.38,9.16,3.74,487.42,16.60,86.90,1011.00,0.09,0.64,0.74,9.10,0.14,1,13.20,0.00,81.12,1,-12,12,0,0,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,2051061368
07/28/26 04:15:57,17.06,108.27,12.84,8.61,2.80,486.26,16.60,86.80,1011.00,0.42,0.86,0.90,0.00,0.16,1,13.20,0.00,81.87,1,-10,13,0,0,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,2052746640
07/28/26 04:16:53,17.06,113.45,11.43,8.70,3.55,486.10,16.60,86.70,1011.00,0.36,0.67,0.69,13.70,0.20,1,13.20,0.00,78.28,1,-11,14,0,0,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,1739352685
07/28/26 04:17:55,17.06,118.07,12.53,8.45,2.97,486.00,16.60,87.00,1011.00,0.49,1.01,1.02,6.00,0.16,1,13.20,0.00,77.34,1,-13,13,0,0,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,2815898462
