DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,167,35,0,-13,6,0,0.00000,0.00000,0,CRC
08/25/26 04:00:01,22.57,230.93,7.10,12.38,5.00,416.10,20.20,54.90,12.71,21.39,21.78,0.00,0.00,0,12.77,0.00,25.81,1,-10,29,5,1,STAT,60,LAT,LON,W,ÿÿ,362068062
08/25/26 04:01:01,22.52,232.96,7.03,11.60,6.02,416.03,20.10,55.00,12.55,21.26,21.76,0.00,0.00,0,12.77,0.00,22.58,1,-11,28,3,1,STAT,60,LAT,LON,W,ÿÿ,2490716785
08/25/26 04:02:01,22.50,230.80,8.17,11.53,5.37,416.01,20.10,54.70,12.50,20.53,20.83,0.00,0.00,0,12.77,0.00,25.81,1,-10,28,4,1,STAT,60,LAT,LON,W,ÿÿ,2998197628
08/25/26 04:03:01,22.49,239.92,8.98,11.21,6.13,416.00,20.10,54.20,12.99,22.12,22.38,0.00,0.00,0,12.74,0.00,29.03,1,-12,28,4,1,STAT,60,LAT,LON,W,ÿÿ,404294954
08/25/26 04:04:01,22.46,240.83,8.20,11.70,5.19,415.55,20.10,54.40,13.28,22.76,23.11,0.00,0.00,0,12.77,0.00,22.58,1,-12,28,4,1,STAT,60,LAT,LON,W,ÿÿ,47161118
08/25/26 04:05:03,22.42,235.40,7.22,11.55,5.33,415.19,20.10,54.40,13.35,22.98,23.40,0.00,0.00,0,12.77,0.00,22.58,1,-11,29,5,2,STAT,60,LAT,LON,W,ÿÿ,2575921342
08/25/26 04:06:03,22.40,238.55,7.90,10.97,6.07,415.16,20.10,54.10,13.11,22.83,23.28,0.00,0.00,0,12.74,0.00,45.16,1,-9,28,4,1,STAT,60,LAT,LON,W,ÿÿ,4180397705
08/25/26 04:07:03,22.40,236.85,7.26,11.14,5.41,415.06,20.00,53.80,13.84,22.92,23.50,0.00,0.00,0,12.77,0.00,22.58,1,-10,28,3,1,STAT,60,LAT,LON,W,ÿÿ,2903112223
08/25/26 04:08:03,22.34,236.66,7.59,11.36,5.54,415.02,20.00,53.50,14.83,22.60,23.38,0.00,0.00,0,12.77,0.00,22.58,1,-11,28,3,2,STAT,60,LAT,LON,W,ÿÿ,3739295165
08/25/26 04:09:03,22.31,230.73,6.86,10.77,6.57,414.92,20.00,53.20,14.66,21.57,22.32,0.00,0.00,0,12.77,0.00,29.03,1,-10,29,4,2,STAT,60,LAT,LON,W,ÿÿ,1958780822
08/25/26 04:10:05,22.30,236.35,7.68,10.76,7.46,414.33,19.90,53.20,15.26,24.40,25.40,0.00,0.00,0,12.74,0.00,74.19,1,-11,28,4,2,STAT,60,LAT,LON,W,ÿÿ,4272367157
08/25/26 04:11:05,22.29,238.17,6.98,10.65,8.02,414.11,19.90,53.10,14.81,23.83,24.88,0.00,0.00,0,12.77,0.00,25.81,1,-11,29,4,2,STAT,60,LAT,LON,W,ÿÿ,2071147969
08/25/26 04:12:05,22.23,223.27,7.44,11.34,6.31,414.04,19.80,53.00,15.54,25.19,25.66,0.00,0.00,0,12.77,0.00,22.58,1,-7,28,3,2,STAT,60,LAT,LON,W,ÿÿ,3259058891
08/25/26 04:13:05,22.21,220.87,7.20,10.34,7.06,413.82,19.80,52.80,15.39,24.69,25.32,0.00,0.00,0,12.74,0.00,22.58,1,-8,28,4,1,STAT,60,LAT,LON,W,ÿÿ,3640922255
08/25/26 04:14:05,22.20,223.36,9.23,10.42,6.85,413.29,19.80,52.80,14.83,23.71,24.66,0.00,0.00,0,12.74,0.00,38.71,1,-9,26,4,1,STAT,60,LAT,LON,W,ÿÿ,4035427687
08/25/26 04:15:07,22.15,230.10,9.91,10.62,6.08,413.10,19.80,52.80,15.90,25.61,26.65,0.00,0.00,0,12.74,0.00,45.16,1,-8,26,4,1,STAT,60,LAT,LON,W,ÿÿ,2003466998
08/25/26 04:16:07,22.11,241.95,7.80,11.06,7.05,413.27,19.80,52.80,15.79,26.87,28.14,0.00,0.00,0,12.77,0.00,22.58,1,-10,27,4,2,STAT,60,LAT,LON,W,ÿÿ,3593013043
08/25/26 04:17:07,22.10,236.60,7.87,10.19,8.19,413.74,19.80,52.90,14.78,24.47,26.34,0.00,0.00,0,12.74,0.00,22.58,1,-9,27,4,2,STAT,60,LAT,LON,W,ÿÿ,1749075758
08/25/26 04:18:07,22.06,236.58,8.08,10.56,7.89,413.91,19.70,52.80,15.02,25.55,26.81,0.00,0.00,0,12.74,0.00,25.81,1,-11,27,4,1,STAT,60,LAT,LON,W,ÿÿ,684544347
08/25/26 04:19:07,22.02,228.30,7.29,10.63,6.59,413.97,19.70,52.90,15.18,25.81,26.68,0.00,0.00,0,12.74,0.00,25.81,1,-9,27,3,2,STAT,60,LAT,LON,W,ÿÿ,2559804952
08/25/26 04:20:07,22.00,235.41,7.93,11.22,6.46,414.53,19.70,53.00,15.08,25.14,26.31,0.00,0.00,0,12.74,0.00,32.26,1,-10,26,4,1,STAT,60,LAT,LON,W,ÿÿ,1790307398
08/25/26 04:21:08,21.99,246.97,8.95,11.25,6.98,415.24,19.60,53.20,16.13,26.41,27.09,0.00,0.00,0,12.74,0.00,41.94,1,-10,26,3,2,STAT,60,LAT,LON,W,ÿÿ,954761636
08/25/26 04:22:08,21.93,249.79,7.06,11.50,7.44,415.73,19.60,53.20,15.51,24.79,25.44,0.00,0.00,0,12.74,0.00,38.71,1,-11,26,4,2,STAT,60,LAT,LON,W,ÿÿ,4271642363
08/25/26 04:23:08,21.91,243.41,8.74,11.69,7.52,415.91,19.60,53.40,14.98,25.06,25.61,0.00,0.00,0,12.74,0.00,41.94,1,-10,25,4,2,STAT,60,LAT,LON,W,ÿÿ,427574976
08/25/26 04:24:08,21.90,236.71,8.04,11.86,7.07,415.97,19.60,53.90,15.90,25.79,26.62,0.00,0.00,0,12.74,0.00,25.81,1,-9,25,4,2,STAT,60,LAT,LON,W,ÿÿ,1417863209
08/25/26 04:25:08,21.84,243.56,9.83,12.00,5.63,416.69,19.60,54.10,15.51,25.09,25.82,0.00,0.00,0,12.74,0.00,25.81,1,-11,26,4,2,STAT,60,LAT,LON,W,ÿÿ,2629678100
08/25/26 04:26:08,21.81,307.20,17.88,13.37,4.38,418.53,19.60,54.10,16.01,25.97,26.79,0.00,0.00,0,12.74,0.00,29.03,1,-10,25,3,2,STAT,60,LAT,LON,W,ÿÿ,2248656299
08/25/26 04:27:08,21.80,308.34,13.49,13.83,3.49,419.48,19.50,53.90,15.04,25.29,26.45,0.00,0.00,0,12.74,0.00,25.81,1,-12,27,4,2,STAT,60,LAT,LON,W,ÿÿ,3082256122
08/25/26 04:28:09,21.79,283.16,10.04,12.80,4.62,419.82,19.50,53.90,14.37,23.58,24.03,0.00,0.00,0,12.74,0.00,38.71,1,-12,27,4,2,STAT,60,LAT,LON,W,ÿÿ,4058735602
08/25/26 04:29:09,21.74,263.73,7.45,12.42,4.62,419.94,19.50,54.00,15.09,24.39,25.35,0.00,0.00,0,12.74,0.00,41.94,1,-12,27,3,1,STAT,60,LAT,LON,W,ÿÿ,3336394807
08/25/26 04:30:09,21.71,251.03,6.92,12.63,3.18,420.06,19.50,54.20,14.85,25.73,26.60,0.00,0.00,0,12.74,0.00,25.81,1,-11,26,4,1,STAT,60,LAT,LON,W,ÿÿ,2536769544
08/25/26 04:31:04,21.70,248.68,7.12,12.83,3.22,420.87,19.50,54.40,14.69,23.55,24.24,0.00,0.00,0,12.74,0.00,70.97,1,-11,26,4,1,STAT,60,LAT,LON,W,ÿÿ,2228964742
08/25/26 04:32:04,21.70,255.54,6.59,12.46,4.19,422.10,19.50,54.50,14.47,23.90,24.80,0.00,0.00,0,12.74,0.00,25.81,1,-12,27,3,1,STAT,60,LAT,LON,W,ÿÿ,2655195977
08/25/26 04:33:05,21.68,255.11,6.80,12.59,3.31,423.27,19.50,54.70,14.31,23.58,24.38,0.00,0.00,0,12.74,0.00,41.94,1,-12,27,4,1,STAT,60,LAT,LON,W,ÿÿ,4238475262
08/25/26 04:34:05,21.63,257.99,6.07,13.23,2.29,424.49,19.50,54.80,14.45,23.86,25.18,0.00,0.00,0,12.74,0.00,22.58,1,-11,27,4,1,STAT,60,LAT,LON,W,ÿÿ,2675600981
08/25/26 04:35:06,21.61,262.98,5.62,12.27,4.47,425.47,19.50,54.70,14.47,24.45,25.31,0.00,0.00,0,12.74,0.00,25.81,1,-12,27,3,1,STAT,60,LAT,LON,W,ÿÿ,1271716965
08/25/26 04:36:07,21.60,258.70,6.63,12.07,4.80,425.81,19.50,54.60,13.94,24.76,25.76,0.00,0.00,0,12.74,0.00,29.03,1,-12,26,3,2,STAT,60,LAT,LON,W,ÿÿ,269498149
08/25/26 04:37:07,21.60,250.43,6.73,12.36,4.90,425.70,19.50,54.40,14.76,24.99,26.28,0.00,0.00,0,12.74,0.00,25.81,1,-11,26,2,1,STAT,60,LAT,LON,W,ÿÿ,1528906963
08/25/26 04:38:07,21.60,245.99,6.50,11.63,5.67,425.09,19.50,54.40,13.85,23.60,24.09,0.00,0.00,0,12.74,0.00,25.81,1,-12,27,2,1,STAT,60,LAT,LON,W,ÿÿ,3615515150
08/25/26 04:39:07,21.60,242.64,6.23,11.90,5.77,423.54,19.50,54.40,13.29,22.03,22.82,0.00,0.00,0,12.74,0.00,25.81,1,-12,27,2,1,STAT,60,LAT,LON,W,ÿÿ,3980251597
08/25/26 04:40:07,21.58,237.16,7.27,11.57,5.22,422.46,19.50,54.40,13.34,21.11,22.62,0.00,0.00,0,12.74,0.00,41.94,1,-12,25,3,1,STAT,60,LAT,LON,W,ÿÿ,2828718303
08/25/26 04:41:07,21.54,228.04,7.34,11.55,6.08,421.01,19.50,54.50,12.84,20.65,21.31,0.00,0.00,0,12.74,0.00,25.81,1,-9,25,3,1,STAT,60,LAT,LON,W,ÿÿ,2623416616
08/25/26 04:42:08,21.51,229.16,7.64,11.88,5.01,419.85,19.40,54.60,13.07,21.02,21.37,0.00,0.00,0,12.74,0.00,25.81,1,-11,26,2,1,STAT,60,LAT,LON,W,ÿÿ,539407044
08/25/26 04:43:08,21.50,230.66,6.17,12.36,4.50,419.71,19.40,54.80,12.65,20.89,21.13,0.00,0.00,0,12.74,0.00,80.65,1,-11,27,2,1,STAT,60,LAT,LON,W,ÿÿ,3866561809
08/25/26 04:44:08,21.50,228.80,6.08,12.11,4.58,420.77,19.40,54.90,13.09,21.34,21.82,0.00,0.00,0,12.74,0.00,38.71,1,-10,26,3,1,STAT,60,LAT,LON,W,ÿÿ,58872202
08/25/26 04:45:08,21.50,230.39,7.10,11.75,4.09,422.11,19.40,55.00,13.59,21.99,22.73,0.00,0.00,0,12.74,0.00,22.58,1,-11,26,2,1,STAT,60,LAT,LON,W,ÿÿ,3832548318
08/25/26 04:46:08,21.50,230.00,7.07,12.00,3.94,423.30,19.40,55.10,13.68,21.90,23.09,0.00,0.00,0,12.74,0.00,41.94,1,-11,26,2,0,STAT,60,LAT,LON,W,ÿÿ,2941212948
08/25/26 04:47:10,21.50,229.48,8.38,12.16,4.72,423.75,19.40,55.30,13.60,22.39,23.88,0.00,0.00,0,12.74,0.00,22.58,1,-10,26,2,1,STAT,60,LAT,LON,W,ÿÿ,1008724791
08/25/26 04:48:10,21.48,233.19,7.46,11.93,5.18,424.42,19.40,55.30,13.43,23.44,24.33,0.00,0.00,0,12.74,0.00,25.81,1,-10,26,2,1,STAT,60,LAT,LON,W,ÿÿ,4188793988
08/25/26 04:49:10,21.43,235.65,8.81,11.58,6.12,424.79,19.40,55.20,12.24,19.94,20.43,0.00,0.00,0,12.74,0.00,25.81,1,-10,25,2,1,STAT,60,LAT,LON,W,ÿÿ,2865764753
08/25/26 04:50:10,21.41,236.67,7.89,12.42,4.51,424.93,19.30,55.30,12.64,20.04,20.52,0.00,0.00,0,12.74,0.00,22.58,1,-10,24,3,0,STAT,60,LAT,LON,W,ÿÿ,2559864065
08/25/26 04:51:10,21.40,233.78,8.51,12.80,4.36,424.97,19.20,55.50,12.89,19.31,19.87,0.00,0.00,0,12.74,0.00,25.81,1,-10,24,3,0,STAT,60,LAT,LON,W,ÿÿ,128579336
08/25/26 04:52:11,21.40,223.10,8.63,12.23,4.73,424.99,19.20,55.70,13.13,21.51,21.88,0.00,0.00,0,12.74,0.00,25.81,1,-8,23,2,0,STAT,60,LAT,LON,W,ÿÿ,4024074797
08/25/26 04:53:11,21.40,221.10,8.63,12.27,5.57,425.00,19.10,55.80,12.47,20.30,20.41,0.00,0.00,0,12.74,0.00,22.58,1,-8,24,2,1,STAT,60,LAT,LON,W,ÿÿ,4005350003
08/25/26 04:54:11,21.39,221.37,8.42,11.78,5.66,425.00,19.10,56.00,12.00,19.69,20.04,0.00,0.00,0,12.74,0.00,25.81,1,-9,24,3,1,STAT,60,LAT,LON,W,ÿÿ,4032049197
08/25/26 04:55:11,21.33,216.63,7.64,12.31,5.52,425.00,19.00,56.30,12.42,21.65,22.51,0.00,0.00,0,12.74,0.00,41.94,1,-8,24,4,1,STAT,60,LAT,LON,W,ÿÿ,1974195647
08/25/26 04:56:11,21.31,220.06,8.02,12.16,5.27,424.71,19.00,56.20,13.11,21.06,22.07,0.00,0.00,0,12.74,0.00,25.81,1,-9,23,4,1,STAT,60,LAT,LON,W,ÿÿ,487226169
08/25/26 04:57:12,21.30,224.25,8.50,12.42,6.20,424.25,18.90,56.30,13.00,20.01,21.07,0.00,0.00,0,12.74,0.00,74.19,1,-10,23,4,1,STAT,60,LAT,LON,W,ÿÿ,4090321684
08/25/26 04:58:12,21.26,222.69,8.95,12.41,5.76,422.93,18.90,56.30,12.56,20.34,21.03,0.00,0.00,0,12.74,0.00,25.81,1,-12,24,5,1,STAT,60,LAT,LON,W,ÿÿ,2276016042
08/25/26 04:59:12,21.22,220.09,7.90,12.04,6.74,421.68,18.90,56.30,12.63,20.28,21.37,0.00,0.00,0,12.74,0.00,25.81,1,-12,24,4,1,STAT,60,LAT,LON,W,ÿÿ,2442951471
08/25/26 05:00:12,21.21,216.32,8.94,11.95,6.54,421.10,19.00,56.30,12.16,19.76,20.36,0.00,0.00,0,12.74,0.00,25.81,1,-11,23,4,1,STAT,60,LAT,LON,W,ÿÿ,2126143190
08/25/26 05:01:12,21.18,220.51,8.06,12.09,5.72,421.03,19.00,56.40,12.24,19.95,20.63,0.00,0.00,0,12.74,0.00,25.81,1,-13,23,4,1,STAT,60,LAT,LON,W,ÿÿ,1790367408
08/25/26 05:02:12,21.13,219.98,7.44,12.13,5.85,421.01,19.00,56.40,12.53,20.30,21.06,0.00,0.00,0,12.74,0.00,29.03,1,-13,24,4,1,STAT,60,LAT,LON,W,ÿÿ,178840732
08/25/26 05:03:07,21.11,220.47,7.84,11.89,6.06,420.65,19.00,56.30,12.43,20.06,20.66,0.00,0.00,0,12.74,0.00,25.81,1,-13,23,3,1,STAT,60,LAT,LON,W,ÿÿ,63433273
08/25/26 05:04:08,21.11,223.99,9.66,11.87,5.61,420.58,19.00,56.30,12.01,19.59,20.17,0.00,0.00,0,12.74,0.00,22.58,1,-15,23,4,1,STAT,60,LAT,LON,W,ÿÿ,2743677948
08/25/26 05:05:08,21.09,234.93,8.42,12.11,6.08,420.85,19.00,56.10,12.24,20.44,21.26,0.00,0.00,0,12.74,0.00,41.94,1,-16,24,4,1,STAT,60,LAT,LON,W,ÿÿ,3462529352
08/25/26 05:06:08,21.04,237.86,7.54,12.08,8.01,420.95,18.90,56.10,12.42,20.12,20.59,0.00,0.00,0,12.74,0.00,22.58,1,-17,25,4,2,STAT,60,LAT,LON,W,ÿÿ,1429053305
08/25/26 05:07:08,21.02,232.65,8.58,11.97,6.95,420.98,18.90,56.10,12.82,20.35,21.31,0.00,0.00,0,12.74,0.00,22.58,1,-15,24,3,1,STAT,60,LAT,LON,W,ÿÿ,3982945823
08/25/26 05:08:08,21.01,228.49,9.55,12.40,6.11,420.99,18.90,56.40,12.49,20.32,20.92,0.00,0.00,0,12.74,0.00,25.81,1,-14,23,2,1,STAT,60,LAT,LON,W,ÿÿ,3993584823
08/25/26 05:09:08,21.00,232.32,8.19,12.28,6.53,421.54,18.90,56.60,12.79,20.62,21.37,0.00,0.00,0,12.74,0.00,41.94,1,-15,24,3,1,STAT,60,LAT,LON,W,ÿÿ,3040945030
