DATE,TE,CO,NO,NO2,O3,CO2,T,RH,P,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,68,28,0,-13,86,0,0.00000,0.00000,0,CRC
07/06/26 03:58:52,20.50,150.73,10.12,9.78,17.03,411.00,19.30,48.80,1013.00,0.31,0.48,0.62,88.20,0.21,1,13.27,3.78,81.57,1,-20,22,3,5,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,2516082220
07/06/26 03:59:53,20.46,157.03,8.38,12.23,14.33,411.00,19.30,50.90,1013.00,0.16,0.70,0.74,59.20,0.15,1,13.27,3.15,82.56,1,-20,22,3,4,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,3245817638
07/06/26 04:00:49,20.43,174.58,8.49,12.18,15.38,411.35,19.30,50.40,1013.00,0.17,0.43,0.63,58.20,0.19,1,13.27,1.32,77.33,1,-22,22,3,5,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,54793516
07/06/26 04:01:49,20.42,159.53,10.32,11.16,15.84,411.77,19.20,50.20,1013.00,0.16,0.29,0.36,64.30,0.27,1,13.27,0.37,78.70,1,-20,21,2,5,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,745564385
07/06/26 04:02:50,20.38,150.84,7.75,11.62,15.17,411.42,19.20,50.50,1013.00,0.05,0.29,0.49,63.90,0.20,1,13.27,0.11,82.90,1,-20,22,2,5,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,1494535977
07/06/26 04:03:50,20.34,148.43,9.10,11.41,15.90,411.15,19.10,50.80,1013.00,0.02,0.29,0.36,41.70,0.20,1,13.27,0.03,79.32,1,-21,21,1,5,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,2441849105
07/06/26 04:04:52,20.32,148.19,9.65,10.86,15.60,411.05,19.10,50.80,1013.00,0.11,0.28,0.30,54.80,0.21,1,13.27,0.01,92.04,1,-19,21,1,4,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,4289738393
07/06/26 04:05:48,20.30,145.77,9.90,9.83,16.31,410.56,19.10,50.30,1013.00,0.04,0.15,0.16,45.70,0.23,1,13.27,0.00,87.38,1,-20,20,1,4,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,2035170605
07/06/26 04:06:49,20.24,140.17,9.33,11.13,15.51,410.05,19.00,50.90,1013.00,0.01,0.21,0.21,61.70,0.19,1,13.27,0.00,83.40,1,-19,22,3,4,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,1900399238
07/06/26 04:07:50,20.22,146.73,8.01,11.32,15.96,410.28,19.00,50.90,1013.00,0.07,0.47,0.47,59.20,0.23,1,13.27,0.00,78.23,1,-21,22,2,5,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,262046694
