DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,201,20,-9,-18,6,0,0.00000,0.00000,0,CRC
09/19/26 03:59:29,19.53,316.29,9.51,18.39,-0.84,437.10,17.50,57.80,5.68,8.83,9.22,0.00,0.00,0,12.74,0.00,64.52,1,-23,16,2,0,STAT,60,LAT,LON,W,ÿÿ,700864802
09/19/26 04:00:30,19.52,311.80,7.83,18.07,0.41,437.52,17.50,57.90,5.82,9.21,9.35,0.00,0.00,0,12.74,0.00,25.81,1,-22,17,2,0,STAT,60,LAT,LON,W,ÿÿ,924282269
09/19/26 04:01:30,19.52,315.34,7.73,17.88,0.93,437.83,17.50,57.90,5.84,9.54,9.68,0.00,0.00,0,12.74,0.00,22.58,1,-24,18,2,0,STAT,60,LAT,LON,W,ÿÿ,2991884750
09/19/26 04:02:30,19.47,311.45,8.41,18.02,1.41,437.94,17.40,58.00,5.03,8.46,8.97,0.00,0.00,0,12.74,0.00,38.71,1,-24,17,2,0,STAT,60,LAT,LON,W,ÿÿ,122766135
09/19/26 04:03:30,19.44,301.66,9.29,18.69,-0.28,437.98,17.40,58.00,5.07,8.43,8.60,0.00,0.00,0,12.74,0.00,25.81,1,-23,16,1,0,STAT,60,LAT,LON,W,ÿÿ,290406519
09/19/26 04:04:30,19.43,294.33,8.30,18.77,-2.18,437.99,17.40,58.20,5.72,8.75,9.12,0.00,0.00,0,12.74,0.00,22.58,1,-24,16,2,0,STAT,60,LAT,LON,W,ÿÿ,4193822326
09/19/26 04:05:30,19.42,297.36,9.93,17.92,-0.26,438.00,17.40,58.30,5.78,8.91,9.47,0.00,0.00,0,12.74,0.00,22.58,1,-24,16,1,0,STAT,60,LAT,LON,W,ÿÿ,1561201579
09/19/26 04:06:31,19.39,304.82,9.05,17.30,1.12,438.35,17.40,58.30,5.92,9.60,10.05,0.00,0.00,0,12.74,0.00,38.71,1,-25,16,1,0,STAT,60,LAT,LON,W,ÿÿ,878862411
09/19/26 04:07:31,19.35,311.48,10.06,18.49,0.16,439.00,17.40,58.40,5.87,9.51,9.95,0.00,0.00,0,12.74,0.00,35.48,1,-27,15,2,0,STAT,60,LAT,LON,W,ÿÿ,2991332975
09/19/26 04:08:31,19.33,303.81,9.23,17.92,0.47,440.08,17.40,58.40,6.09,9.82,10.55,0.00,0.00,0,12.74,0.00,32.26,1,-25,16,2,0,STAT,60,LAT,LON,W,ÿÿ,1469817917
09/19/26 04:09:31,19.33,305.53,9.60,17.68,0.61,441.41,17.30,58.50,6.01,9.87,10.90,0.00,0.00,0,12.74,0.00,54.84,1,-25,16,2,0,STAT,60,LAT,LON,W,ÿÿ,3104889949
09/19/26 04:10:31,19.31,297.13,10.97,17.76,0.39,442.34,17.30,58.50,6.01,10.05,10.49,0.00,0.00,0,12.74,0.00,38.71,1,-23,13,1,0,STAT,60,LAT,LON,W,ÿÿ,724910850
09/19/26 04:11:32,19.26,298.70,9.84,17.29,1.62,442.77,17.30,58.40,5.72,8.69,9.18,0.00,0.00,0,12.74,0.00,22.58,1,-26,15,1,0,STAT,60,LAT,LON,W,ÿÿ,2862160638
09/19/26 04:12:32,19.24,293.79,9.77,17.85,-0.10,442.31,17.30,58.40,5.50,8.47,9.01,0.00,0.00,0,12.74,0.00,25.81,1,-26,15,1,0,STAT,60,LAT,LON,W,ÿÿ,1470641044
09/19/26 04:13:32,19.23,291.61,8.02,17.52,-0.15,441.70,17.30,58.50,5.48,8.45,8.98,0.00,0.00,0,12.74,0.00,38.71,1,-26,18,1,0,STAT,60,LAT,LON,W,ÿÿ,2397543762
09/19/26 04:14:32,19.23,305.02,9.59,17.50,0.34,441.02,17.30,58.50,4.95,8.03,8.38,0.00,0.00,0,12.74,0.00,25.81,1,-29,16,1,0,STAT,60,LAT,LON,W,ÿÿ,488999775
09/19/26 04:15:32,19.21,298.55,8.71,17.56,-0.20,440.55,17.30,58.50,5.47,8.76,9.51,0.00,0.00,0,12.74,0.00,25.81,1,-27,16,1,0,STAT,60,LAT,LON,W,ÿÿ,1709452144
09/19/26 04:16:33,19.16,292.44,7.67,16.98,1.30,440.55,17.30,58.50,5.69,9.12,9.92,0.00,0.00,0,12.74,0.00,38.71,1,-25,17,2,0,STAT,60,LAT,LON,W,ÿÿ,1749355702
09/19/26 04:17:33,19.14,290.96,9.38,17.29,1.21,441.30,17.20,58.60,5.83,9.49,10.22,0.00,0.00,0,12.74,0.00,25.81,1,-26,16,1,0,STAT,60,LAT,LON,W,ÿÿ,653452578
09/19/26 04:18:33,19.13,291.06,8.97,16.86,-0.21,441.67,17.30,58.70,5.87,8.55,9.01,0.00,0.00,0,12.74,0.00,22.58,1,-25,16,1,0,STAT,60,LAT,LON,W,ÿÿ,2006589746
09/19/26 04:19:33,19.13,296.25,8.67,17.13,0.41,441.88,17.20,58.70,5.81,8.87,9.21,0.00,0.00,0,12.74,0.00,29.03,1,-26,15,1,0,STAT,60,LAT,LON,W,ÿÿ,533607080
09/19/26 04:20:33,19.11,297.06,8.06,17.66,-1.31,441.96,17.20,58.80,5.51,8.38,8.58,0.00,0.00,0,12.74,0.00,45.16,1,-26,16,1,0,STAT,60,LAT,LON,W,ÿÿ,611282415
09/19/26 04:21:33,19.06,292.99,8.34,17.83,-1.01,441.99,17.20,58.90,5.80,8.87,10.31,0.00,0.00,0,12.74,0.00,25.81,1,-25,15,2,0,STAT,60,LAT,LON,W,ÿÿ,2447312303
09/19/26 04:22:33,19.04,295.07,8.21,17.12,-0.01,441.99,17.20,58.90,6.02,8.81,9.77,0.00,0.00,0,12.74,0.00,25.81,1,-25,15,1,0,STAT,60,LAT,LON,W,ÿÿ,654346730
09/19/26 04:23:33,19.03,298.49,9.16,16.77,1.08,442.00,17.20,59.00,5.52,9.43,10.04,0.00,0.00,0,12.74,0.00,25.81,1,-26,15,1,0,STAT,60,LAT,LON,W,ÿÿ,1145876595
09/19/26 04:24:34,19.03,298.79,9.60,16.87,0.97,442.00,17.20,59.10,5.22,9.41,9.72,0.00,0.00,0,12.74,0.00,41.94,1,-26,14,1,0,STAT,60,LAT,LON,W,ÿÿ,1123462203
09/19/26 04:25:34,19.02,294.83,9.94,17.26,0.35,442.00,17.10,59.00,5.84,9.37,9.51,0.00,0.00,0,12.74,0.00,22.58,1,-23,15,1,0,STAT,60,LAT,LON,W,ÿÿ,613618979
09/19/26 04:26:34,18.97,303.20,8.90,16.67,-0.18,442.00,17.10,59.10,5.74,9.47,9.68,0.00,0.00,0,12.74,0.00,22.58,1,-24,15,1,0,STAT,60,LAT,LON,W,ÿÿ,1379643093
09/19/26 04:27:34,18.94,307.42,9.42,16.65,0.34,442.00,17.10,59.20,5.56,8.55,8.77,0.00,0.00,0,12.74,0.00,25.81,1,-25,16,1,0,STAT,60,LAT,LON,W,ÿÿ,3981417377
09/19/26 04:28:34,18.94,314.39,11.49,17.43,-0.76,442.00,17.10,59.10,5.46,9.46,9.83,0.00,0.00,0,12.74,0.00,38.71,1,-23,15,1,0,STAT,60,LAT,LON,W,ÿÿ,1152497148
09/19/26 04:29:34,18.93,320.32,10.64,17.94,-1.18,442.25,17.10,59.20,5.13,9.58,9.70,0.00,0.00,0,12.74,0.00,25.81,1,-23,15,1,0,STAT,60,LAT,LON,W,ÿÿ,1702820202
09/19/26 04:30:35,18.93,317.77,7.67,17.71,-0.24,442.09,17.00,59.30,5.61,9.44,9.48,0.00,0.00,0,12.74,0.00,22.58,1,-24,17,1,0,STAT,60,LAT,LON,W,ÿÿ,225871728
09/19/26 04:31:36,18.91,312.81,6.38,17.35,0.08,442.28,17.00,59.30,5.73,9.32,9.42,0.00,0.00,0,12.74,0.00,25.81,1,-24,18,1,0,STAT,60,LAT,LON,W,ÿÿ,2452146567
09/19/26 04:32:36,18.86,308.65,7.27,16.78,0.72,442.20,17.00,59.30,6.60,9.88,9.92,0.00,0.00,0,12.70,0.00,80.65,1,-22,17,1,0,STAT,60,LAT,LON,W,ÿÿ,3009550535
09/19/26 04:33:36,18.84,299.64,6.36,16.86,0.03,442.65,17.00,59.20,5.83,9.39,10.03,0.00,0.00,0,12.74,0.00,25.81,1,-22,18,0,0,STAT,60,LAT,LON,W,ÿÿ,3478121808
