DATE,TE,CO,NO,NO2,O3,CO2,T,RH,P,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,107,10,-5,-14,86,0,0.00000,0.00000,0,CRC
05/07/26 03:58:30,14.26,194.83,12.47,13.63,9.60,442.82,12.70,77.30,1015.00,7.32,12.18,12.68,22.70,0.21,1,13.24,0.00,79.47,1,-27,7,0,1,STAT,60,LAT,LON,W,ÿÿÿýÿ,1798175193
05/07/26 03:59:30,14.23,190.46,11.76,13.98,10.03,443.52,12.70,77.50,1015.00,7.33,12.19,12.89,25.60,0.23,1,13.20,0.00,83.07,1,-28,7,0,2,STAT,60,LAT,LON,W,ÿÿÿýÿ,403045925
05/07/26 04:00:31,14.17,179.72,11.27,14.54,9.82,444.45,12.70,77.50,1015.00,7.57,12.68,13.28,9.90,0.20,1,13.20,0.00,84.19,1,-27,8,1,2,STAT,60,LAT,LON,W,ÿÿÿýÿ,264773179
05/07/26 04:01:33,14.13,168.94,12.41,14.85,9.95,444.35,12.70,77.60,1015.00,7.88,13.04,13.39,4.50,0.18,1,13.24,0.00,86.53,1,-23,7,1,2,STAT,60,LAT,LON,W,ÿÿÿýÿ,3949639435
05/07/26 04:02:30,14.09,166.73,11.04,14.78,10.02,443.84,12.70,77.60,1015.00,7.66,12.51,12.63,2.50,0.18,1,13.20,0.00,89.56,1,-25,8,1,1,STAT,60,LAT,LON,W,ÿÿÿýÿ,3355433507
05/07/26 04:03:33,14.04,157.69,12.83,14.42,9.67,443.51,12.70,77.70,1015.00,7.41,11.38,11.62,0.40,0.19,1,13.24,0.00,85.72,1,-23,6,1,2,STAT,60,LAT,LON,W,ÿÿÿýÿ,2454475540
05/07/26 04:04:31,14.02,163.36,13.34,13.21,9.96,443.74,12.60,77.70,1015.00,7.43,11.97,12.62,359.70,0.20,1,13.20,0.00,91.25,1,-24,6,0,1,STAT,60,LAT,LON,W,ÿÿÿýÿ,1684370438
05/07/26 04:05:33,13.96,164.83,12.89,15.27,8.30,443.91,12.60,77.90,1015.00,7.64,12.04,12.45,1.20,0.20,1,13.24,0.00,83.11,1,-26,7,1,1,STAT,60,LAT,LON,W,ÿÿÿýÿ,2680890883
05/07/26 04:06:31,13.93,162.34,12.80,15.37,8.44,443.96,12.60,77.90,1015.00,8.09,12.72,13.00,13.40,0.22,1,13.20,0.00,81.62,1,-26,8,2,1,STAT,60,LAT,LON,W,ÿÿÿýÿ,3281344089
05/07/26 04:07:33,13.89,159.45,10.54,14.73,8.92,443.99,12.60,78.10,1015.00,7.72,12.46,12.88,21.70,0.25,1,13.20,0.00,78.82,1,-23,8,1,1,STAT,60,LAT,LON,W,ÿÿÿýÿ,4100171188
05/07/26 04:08:30,13.85,158.38,12.11,15.23,10.01,443.77,12.50,78.20,1015.00,7.84,12.35,12.92,26.80,0.29,1,13.24,0.00,78.70,1,-24,7,1,2,STAT,60,LAT,LON,W,ÿÿÿýÿ,1767331438
05/07/26 04:09:32,13.83,154.67,12.11,14.94,7.59,443.27,12.40,78.30,1015.00,7.32,12.60,13.18,28.20,0.28,1,13.24,0.00,85.04,1,-22,7,1,1,STAT,60,LAT,LON,W,ÿÿÿýÿ,2419534147
